id,adunit_name,asset_name,adunit_id,status,integration_type,publisher,network,media_type,venue_type,venue_name,city,postal_code,county,state,dma,country,latitude,longitude,address,cpm,currency,four_week_impressions,impression_multiplier,bidstream_impressions,bidstream_inferred_impressions,screen_count,min_duration,max_duration,supports_video,supports_banner,supports_audio,supports_dynamic_creative,slot_dimensions,preferred_ad_format,ad_formats,restrictions,languages,open_ooh_venue_category_id,asset_image_url
485326218,3301,3301,d8165c86-5120-4c97-9943-43264f6beec7,live,API,New Tradition,New Tradition - The Grove,,Outdoor|Billboards|Spectacular,3301,LOS ANGELES,90036,Los Angeles County - CA,CA,"Los Angeles, CA",USA,34.072380,-118.357504,"189 The Grove Dr, Los Angeles, CA 90036",15.0000,USD,3373100,209.5,8116975,208633,1,15,15,true,true,false,true,1520x2010,1520x2010,,,,30103,https://www.dropbox.com/scl/fo/t9mshydgk3sq014abt2h6/ANRLJDGetBNmf3Rs1qMdeJ0?rlkey=ed5dnku33sf0fnk0q2elqnxle&st=k4zq7w1y&dl=0
487186308,LVG069762,LVG069762,c3c11ea3-b47c-4644-b9e4-f10cf3b37b92,live,API,ClearChannelOutdoor,ClearChannelOutdoor Times Square,Spectacular,Outdoor|Billboards|Spectacular,LVG069762,LAS VEGAS,89118,Clark County - NV,NV,"Las Vegas, NV",USA,36.086819,-115.186122,"",18.0000,USD,,166.0840542,0,0,1,12,12,true,true,false,true,3174x2368,3174x2368,,"Coffee/Tea,Government,Law,& Politics,Pornography,Religion & Spirituality",,30103,""
504225257,2PCH-1000,2PCH-1000,13e69948-c85a-40a5-8174-2270e7459ed4,live,VAST,Liquid Outdoor,Large Format,Billboard,Outdoor|Billboards|Spectacular,2nd & PCH,LONG BEACH,90803,Los Angeles County - CA,CA,"Los Angeles, CA",USA,33.756136,-118.110740,"6480 Pacific Coast Hwy, Long Beach, CA 90803",5.5000,USD,533820,19.857,6580280,59558,1,5,30,true,true,false,true,720x1020,720x1020,"1440x2040,2160x3060,2880x4080,360x510,720x1020",,,30103,https://static.wixstatic.com/media/67df4b_2f2bc395c44643afaff4bdc0af1ff6cb~mv2.jpg
504227586,2PCH-1001,2PCH-1001,abbba074-a0da-40f0-b4df-435669746679,live,VAST,Liquid Outdoor,Large Format,Billboard,Outdoor|Billboards|Spectacular,2nd & PCH,LONG BEACH,90803,Los Angeles County - CA,CA,"Los Angeles, CA",USA,33.755628,-118.109930,"6480 Pacific Coast Hwy, Long Beach, CA 90803",5.5000,USD,716280,26.647,8794885,80634,1,5,30,true,true,false,true,1080x324,1080x324,"1000x300,1080x324,2000x600,3000x900,500x150",,,30103,https://static.wixstatic.com/media/67df4b_7011fa547a974744a4d50baab46be6b2~mv2.jpg
508767005,WHST-D-172S,WHST-D-172S,a152f87e-8df0-4ee3-8e06-9917b37af62a,live,API,Screenverse + Apparatix Billboards,Whistler Media Group,Billboard,Outdoor|Billboards|Spectacular,"75 Highway W/S, 0.23 mi S/O 20 Highway, S/F",SKIATOOK,74070,Tulsa County - OK,OK,"Tulsa, OK",USA,36.362206,-95.921306,"75 Highway W/S, 0.23 mi S/O 20 Highway, S/F",6.5000,USD,85680,2.27,295474,16964,1,8,8,false,true,false,false,600x380,600x380,600x380,,,30103,https://europa.apx.me/face/photo/apx/web/whistler/D-172S/approach%20photo/ZmMzk0Yg.webp
525158315,broadsign.com:1190428420,Sahara Spectacular,62ea3dc9-be6c-418f-acb2-24edea5c444b,live,Broadsign,Harkey Media,Harkey Media,Spectacular,Outdoor|Billboards|Spectacular,LV-002,LAS VEGAS,89104,Clark County - NV,NV,"Las Vegas, NV",USA,36.143739,-115.157234,"",20.0000,USD,10332252,427.09375,4105131,280966,1,10,10,true,true,false,false,9212x1520,9212x1520,9212x1520,,,30103,https://drive.google.com/file/d/11kTMnJ1Cra9b1Z1RJcOqJ9hGq-Ea8AVe/view?usp=sharing
540607467,2001-W,2001-W,9d22d3e6-4270-40e7-b035-3b489b780fa7,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,Miami South Beach Entrance,MIAMI,33132,Miami-Dade County - FL,FL,"Miami-Ft. Lauderdale, FL",USA,25.784785,-80.176137,Downtown/South Beach – I-395 MacArthur Causeway (targeting traffic to SoBe),10.0000,USD,134176,222,88337574,2267552,1,10,10,false,true,false,true,1104x608,1104x608,,,,30103,https://www.dropbox.com/scl/fo/czq4kxosceqkd889gg9bu/ACKfajvcDvGghshp1EN13d8?rlkey=61q22mflnf6h85q92hr5nargz&st=8lnmbo4m&dl=0
540607673,1105A,1105A,dbb10b3f-32f9-48b3-ba39-d1378ab3ae51,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,Centennial Towers,ATLANTA,30303,Fulton County - GA,GA,"Atlanta, GA",USA,33.757950,-84.394007,Centennial Towers - Centennial Olympic Park Dr & Marietta St,10.0000,USD,2178368,360,17685000,11869265,2,10,10,true,true,false,true,900x3888,900x3888,,,,30103,https://www.dropbox.com/scl/fo/wpvt9z9lehi7ahm8h4baa/AKBjRGo45ok09vxOgcBqpGI?rlkey=h1wbg1igdvcw2p4et2uccy0ll&st=1vf3ae23&dl=0
540607760,1106,1106,f3fb10e6-9a7c-4661-aebd-b3c05fda7f14,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,Centennial Olympic Park Drive,ATLANTA,30303,Fulton County - GA,GA,"Atlanta, GA",USA,33.757043,-84.395192,Centennial Olympic Park Dr w/o Marietta St,10.0000,USD,212200,34,16532432,5248214,1,10,10,true,true,false,true,756x4140,756x4140,,,,30103,https://www.dropbox.com/scl/fo/a1duwq89k8mxpxd79w27s/APPO6bcyURO8vzl7U_r4Hgg?rlkey=nkfdcxiregibbhydif0rt9af5&st=qd6hifoh&dl=0
582452871,1052B,#1052B,2cede7a6-786d-4fc7-897c-46326d599b2c,live,VAST,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,1 TSQ - West Facing,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.756421,-73.986488,"1 Times Square – 43rd St, Broadway & 7th Ave",5.0000,USD,3201473,703.9555556,36944820,31733718,1,15,15,true,true,false,true,1110x3780,1110x3780,,,,30103,https://www.dropbox.com/scl/fo/wmrk32os1jly59m7mt63e/AET2SnR1P5Cc_V26xYz7dT0?rlkey=4qa831le6f0xte3krb1lm65w8&st=svclr794&dl=0
